Beverage,Size,Caffeine
Pike Place Brewed Coffee,Short,180
Blonde Roast,Short,180
Clover Brewed Coffee,Short,170
Featured Dark Roast,Short,130
Brewed Decaf Coffee,Short,15
Caffe Americano,Short,75
Caffe Latte,Short,75
Latte Macciato,Short,150
Caffe Mocha,Short,90
Cappuccino,Short,75
Flat White,Short,130
Caramel Macchiato,Short,75
Caramel Flan Latte,Short,75
Molten Chocolate Latte,Short,95
Hazelnut Macchiato,Short,75
Cinnamon Dolce Latte,Short,75
Pumpkin Spice,Short,75
Salted Caramel Mocha,Short,90
Tiramisu Latte,Short,75
Smoked Butterscotch Latte,Short,75
Toasted Graham Latte,Short,75
Peppermint Mocha,Short,75
White Chocolate Mocha,Short,75
Caffe Misto,Short,75
Pike Place Brewed Coffee,Tall,260
Blonde Roast,Tall,270
Clover Brewed Coffee,Tall,280
Featured Dark Roast,Tall,195
Brewed Decaf Coffee,Tall,20
Caffe Americano,Tall,150
Caffe Latte,Tall,75
Latte Macciato,Tall,150
Caffe Mocha,Tall,95
Cappuccino,Tall,75
Flat White,Tall,130
Caramel Macchiato,Tall,75
Caramel Flan Latte,Tall,75
Molten Chocolate Latte,Tall,100
Hazelnut Macchiato,Tall,75
Cinnamon Dolce Latte,Tall,75
Pumpkin Spice,Tall,75
Salted Caramel Mocha,Tall,95
Tiramisu Latte,Tall,75
Smoked Butterscotch Latte,Tall,75
Toasted Graham Latte,Tall,75
Peppermint Mocha,Tall,75
White Chocolate Mocha,Tall,75
Caffe Misto,Tall,115
Pike Place Brewed Coffee,Grande,330
Blonde Roast,Grande,360
Clover Brewed Coffee,Grande,375
Featured Dark Roast,Grande,260
Brewed Decaf Coffee,Grande,25
Caffe Americano,Grande,225
Caffe Latte,Grande,150
Latte Macciato,Grande,225
Caffe Mocha,Grande,175
Cappuccino,Grande,150
Flat White,Grande,195
Caramel Macchiato,Grande,150
Caramel Flan Latte,Grande,150
Molten Chocolate Latte,Grande,185
Hazelnut Macchiato,Grande,150
Cinnamon Dolce Latte,Grande,150
Pumpkin Spice,Grande,150
Salted Caramel Mocha,Grande,175
Tiramisu Latte,Grande,150
Smoked Butterscotch Latte,Grande,150
Toasted Graham Latte,Grande,150
Peppermint Mocha,Grande,150
White Chocolate Mocha,Grande,150
Caffe Misto,Grande,150
Pike Place Brewed Coffee,Venti,415
Blonde Roast,Venti,475
Clover Brewed Coffee,Venti,445
Featured Dark Roast,Venti,340
Brewed Decaf Coffee,Venti,30
Caffe Americano,Venti,300
Caffe Latte,Venti,150
Latte Macciato,Venti,225
Caffe Mocha,Venti,180
Cappuccino,Venti,150
Flat White,Venti,195
Caramel Macchiato,Venti,150
Caramel Flan Latte,Venti,150
Molten Chocolate Latte,Venti,195
Hazelnut Macchiato,Venti,150
Cinnamon Dolce Latte,Venti,150
Pumpkin Spice,Venti,150
Salted Caramel Mocha,Venti,185
Tiramisu Latte,Venti,150
Smoked Butterscotch Latte,Venti,150
Toasted Graham Latte,Venti,150
Peppermint Mocha,Venti,150
White Chocolate Mocha,Venti,150
Caffe Misto,Venti,195
